"00TAF","BOLTON GENERAL PRACTICE","CLINICAL COMMISSIONING GROUP SITE","","01-04-2013","","01-04-2013","","Active","MARSDEN HOUSE","BOLTON","BL1 2AY"
"00TDP","BOLTON GENERAL PRACTICE","CLINICAL COMMISSIONING GROUP SITE","","01-04-2018","","01-04-2018","","Active","2-4 MOOR LANE","BOLTON","BL1 4TH"
"02HCW","ASTLEY GENERAL PRACTICE","CLINICAL COMMISSIONING GROUP SITE","","01-10-2013","","01-10-2013","","Active","391 MANCHESTER ROAD","MANCHESTER","M29 7BY"
"5CC28","AUDLEY/WHITEBIRK GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-04-2009","31-03-2010","01-04-2009","","Active","413 AUDLEY RANGE","BLACKBURN","BB1 1UD"
"5HQA1","BOLTON GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-04-2008","31-03-2013","01-04-2008","30-09-2020","Inactive","MARSDEN HOUSE","BOLTON","BL1 2AY"
"5LC42","MSK GEN PHYSIO","PRIMARY CARE TRUST SITE","","01-10-2012","02-10-2012","01-10-2012","30-09-2020","Inactive","SOHO GENERAL PRACTICE","LONDON","W1D 3HZ"
"5NL29","EVERTON ROAD GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-10-2006","31-03-2013","01-10-2006","","Active","70 EVERTON ROAD","LIVERPOOL","L6 2EW"
"5NL71","KENSINGTON PARK GENERAL PRACTICE","PRIMARY CARE TRUST SITE","","01-04-2007","31-03-2013","01-04-2007","","Active","JUBILEE DRIVE","LIVERPOOL","L7 8SJ"
"8D094","YERBURY CHRISTOPHER (GENERAL PRACTICE)","NON-NHS ORGANISATION","","01-04-1996","","01-04-1996","","Active","UPTON FARM","BRISTOL","BS40 8BG"
"8J629","NEWCASTLE GENERAL PRACTICE SERVICES LTD","NON-NHS ORGANISATION","","29-04-2014","","29-04-2014","","Active","DOBSON HOUSE","NEWCASTLE UPON TYNE","NE3 3PF"
"8JN40","GENERAL PRACTICE SOFTWARE SOLUTIONS","NON-NHS ORGANISATION","","06-02-2017","","06-02-2017","","Active","4 WOODFIELD CLOSE","COULSDON","CR5 3EQ"
"AEX","SOMERSET GPSU (GENERAL PRACTICE SUPPORT UNIT)","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2014","","01-04-2014","","Active","GEORGE SMITH WAY","YEOVIL","BA22 8QR"
"AEX01","SOMERSET GPSU (GENERAL PRACTICE SUPPORT UNIT)","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2014","","01-04-2014","","Active","GEORGE SMITH WAY","YEOVIL","BA22 8QR"
"APA","GENERAL PRACTICE ALLIANCE LIMITED","INDEPENDENT SECTOR HEALTHCARE PROVIDER","EXTENDED ACCESS PROVIDER","01-10-2014","","01-10-2014","","Active","129 HAZELDENE ROAD","NORTHAMPTON","NN2 7PB"
"APA01","GENERAL PRACTICE ALLIANCE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2014","","01-10-2014","","Active","129 HAZELDENE ROAD","NORTHAMPTON","NN2 7PB"
"APE","RICHMOND GENERAL PRACTICE ALLIANCE LTD","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-10-2014","","01-10-2014","","Active","TUDOR HOUSE","KINGSTON UPON THAMES","KT1 4DY"
"APE01","RICHMOND GENERAL PRACTICE ALLIANCE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-10-2014","","01-10-2014","","Active","TUDOR HOUSE","KINGSTON UPON THAMES","KT1 4DY"
"APG","KINGSTON GENERAL PRACTICE CHAMBERS LIMITED","INDEPENDENT SECTOR HEALTHCARE PROVIDER","","01-04-2015","","01-04-2015","","Active","WEST BARNES SURGERY","NEW MALDEN","KT3 6JD"
"APG01","KINGSTON GENERAL PRACTICE CHAMBERS","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2015","","01-04-2015","","Active","WEST BARNES SURGERY","NEW MALDEN","KT3 6JD"
"APV01","DEANBROOK PRIVATE GENERAL PRACTICE","INDEPENDENT SECTOR H/C PROVIDER SITE","","01-04-2015","","01-04-2015","","Active","THE CANDOVER CLINIC","BASINGSTOKE","RG24 9NA"
"B4G3K","GENERAL PRACTICE SOFTWARE SOLUTIONS LTD","NON-NHS ORGANISATION","","04-06-2021","","04-06-2021","","Active","11 UPPER WOODCOTE VILLAGE","PURLEY","CR8 3HE"
"C1E0X","GENERAL PRACTICE SOLUTIONS","APPLICATION SERVICE PROVIDER","","14-10-2024","","14-10-2024","","Active","71-75 SHELTON STREET","LONDON","WC2H 9JQ"
"C88037","STEEL CITY GENERAL PRACTICE","PRESCRIBING COST CENTRE","GP PRACTICE","01-04-1974","","01-04-1974","","Active","148 BASLOW ROAD","SHEFFIELD","S17 4DR"
